Garbage Type,Location,Coordinates,Timestamp
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:29:08
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:29:09
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:29:11
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:29:12
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:29:13
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:29:14
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:29:15
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:29:16
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:31:58
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:00
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:02
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:03
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:06
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:07
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:08
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:10
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:11
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:13
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:14
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:15
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:17
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:18
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:19
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:21
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:22
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:23
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:24
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:28
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:30
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:31
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:33
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:34
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:36
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:37
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:39
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:41
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:42
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:44
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:45
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:46
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:47
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:54
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:55
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:57
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:32:59
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:00
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:01
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:02
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:03
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:05
